Date,Open,High,Low,Close,Adj Close,Volume
15-10-2020,118.720001,121.199997,118.150002,120.709999,118.726959,112559200
16-10-2020,121.279999,121.550003,118.809998,119.019997,117.064728,115393800
19-10-2020,119.959999,120.419998,115.660004,115.980003,114.074661,120639300
20-10-2020,116.199997,118.980003,115.629997,117.510002,115.579536,124423700
21-10-2020,116.669998,118.709999,116.449997,116.870003,114.95005,89946000
22-10-2020,117.449997,118.040001,114.589996,115.75,113.848442,101988000
23-10-2020,116.389999,116.550003,114.279999,115.040001,113.150116,82572600
26-10-2020,114.010002,116.550003,112.879997,115.050003,113.159966,111850700
27-10-2020,115.489998,117.279999,114.540001,116.599998,114.684486,92276800
28-10-2020,115.050003,115.43,111.099998,111.199997,109.373192,143937800
29-10-2020,112.370003,116.93,112.199997,115.32,113.425499,146129200
30-10-2020,111.059998,111.989998,107.720001,108.860001,107.071632,190272600
02-11-2020,109.110001,110.68,107.32,108.769997,106.983116,122866900
03-11-2020,109.660004,111.489998,108.730003,110.440002,108.625679,107624400
04-11-2020,114.139999,115.589996,112.349998,114.949997,113.061592,138235500
05-11-2020,117.949997,119.620003,116.870003,119.029999,117.074547,126387100
06-11-2020,118.32,119.199997,116.129997,118.690002,116.941551,114457900
09-11-2020,120.5,121.989998,116.050003,116.32,114.606468,154515300
10-11-2020,115.550003,117.589996,114.129997,115.970001,114.261612,138023400
11-11-2020,117.190002,119.629997,116.440002,119.489998,117.729752,112295000
12-11-2020,119.620003,120.529999,118.57,119.209999,117.453888,103162300
13-11-2020,119.440002,119.669998,117.870003,119.260002,117.503159,81581900
16-11-2020,118.919998,120.989998,118.150002,120.300003,118.52784,91183000
17-11-2020,119.550003,120.669998,118.959999,119.389999,117.631248,74271000
18-11-2020,118.610001,119.82,118,118.029999,116.291275,76322100
19-11-2020,117.589996,119.059998,116.809998,118.639999,116.892296,74113000
20-11-2020,118.639999,118.769997,117.290001,117.339996,115.611443,73604300
23-11-2020,117.18,117.620003,113.75,113.849998,112.172867,127959300
24-11-2020,113.910004,115.849998,112.589996,115.169998,113.473404,113874200
25-11-2020,115.550003,116.75,115.169998,116.029999,114.320732,76499200
