Date,Open,High,Low,Close,Adj Close,Volume
18-07-2022,150.740005,151.570007,146.699997,147.070007,146.197037,81420900
19-07-2022,147.919998,151.229996,146.910004,151,150.103683,82982400
20-07-2022,151.119995,153.720001,150.369995,153.039993,152.131577,64823400
21-07-2022,154.5,155.570007,151.940002,155.350006,154.427872,65086600
22-07-2022,155.389999,156.279999,153.410004,154.089996,153.175354,66675400
25-07-2022,154.009995,155.039993,152.279999,152.949997,152.042114,53623900
26-07-2022,152.259995,153.089996,150.800003,151.600006,150.700165,55138700
27-07-2022,152.580002,157.330002,152.160004,156.789993,155.859329,78620700
28-07-2022,156.979996,157.639999,154.410004,157.350006,156.416,81378700
29-07-2022,161.240005,163.630005,159.5,162.509995,161.54538,101786900
01-08-2022,161.009995,163.589996,160.889999,161.509995,160.551315,67829400
02-08-2022,160.100006,162.410004,159.630005,160.009995,159.060196,59907000
03-08-2022,160.839996,166.589996,160.75,166.130005,165.14389,82507500
04-08-2022,166.009995,167.190002,164.429993,165.809998,164.82579,55474100
05-08-2022,163.210007,165.850006,163,165.350006,164.596848,56697000
08-08-2022,166.369995,167.809998,164.199997,164.869995,164.119019,60276900
09-08-2022,164.020004,165.820007,163.25,164.919998,164.168793,63135500
10-08-2022,167.679993,169.339996,166.899994,169.240005,168.469131,70170500
11-08-2022,170.059998,170.990005,168.190002,168.490005,167.722534,57149200
12-08-2022,169.820007,172.169998,169.399994,172.100006,171.316086,68039400
15-08-2022,171.520004,173.389999,171.350006,173.190002,172.401108,54091700
16-08-2022,172.779999,173.710007,171.660004,173.029999,172.241852,56377100
17-08-2022,172.770004,176.149994,172.570007,174.550003,173.754929,79542000
18-08-2022,173.75,174.899994,173.119995,174.149994,173.356735,62290100
19-08-2022,173.029999,173.740005,171.309998,171.520004,170.738724,70346300
22-08-2022,169.690002,169.860001,167.139999,167.570007,166.806732,69026800
23-08-2022,167.080002,168.710007,166.649994,167.229996,166.468262,54147100
24-08-2022,167.320007,168.110001,166.25,167.529999,166.766907,53841500
25-08-2022,168.779999,170.139999,168.350006,170.029999,169.255508,51218200
26-08-2022,170.570007,171.050003,163.559998,163.619995,162.87471,78961000
29-08-2022,161.149994,162.899994,159.820007,161.380005,160.644913,73314000
30-08-2022,162.130005,162.559998,157.720001,158.910004,158.186172,77906200
31-08-2022,160.309998,160.580002,157.139999,157.220001,156.503876,87991100
01-09-2022,156.639999,158.419998,154.669998,157.960007,157.240509,74229900
02-09-2022,159.75,160.360001,154.970001,155.809998,155.100296,76957800
06-09-2022,156.470001,157.089996,153.690002,154.529999,153.826111,73714800
07-09-2022,154.820007,156.669998,153.610001,155.960007,155.249619,87449600
08-09-2022,154.639999,156.360001,152.679993,154.460007,153.756439,84923800
09-09-2022,155.470001,157.820007,154.75,157.369995,156.653168,68028800
12-09-2022,159.589996,164.259995,159.300003,163.429993,162.685577,104956000
13-09-2022,159.899994,160.539993,153.369995,153.839996,153.139252,122656600
14-09-2022,154.789993,157.100006,153.610001,155.309998,154.602554,87965400
15-09-2022,154.649994,155.240005,151.380005,152.369995,151.675964,90481100
16-09-2022,151.210007,151.350006,148.369995,150.699997,150.01355,162278800
19-09-2022,149.309998,154.559998,149.100006,154.479996,153.776337,81474200
20-09-2022,153.399994,158.080002,153.080002,156.899994,156.185318,107689800
21-09-2022,157.339996,158.740005,153.600006,153.720001,153.019806,101696800
22-09-2022,152.380005,154.470001,150.910004,152.740005,152.044266,86652500
23-09-2022,151.190002,151.470001,148.559998,150.429993,149.744781,96029900
26-09-2022,149.660004,153.770004,149.639999,150.770004,150.083252,93339400
27-09-2022,152.740005,154.720001,149.949997,151.759995,151.068741,84442700
28-09-2022,147.639999,150.639999,144.839996,149.839996,149.157471,146691400
29-09-2022,146.100006,146.720001,140.679993,142.479996,141.830994,128138200
